amfi_code,Alpha,Beta,R_squared
119598,0.3033696538698332,-0.023196062044059704,0.00014142575502721727
149324,0.3005787817097677,0.011455159960520706,3.532990626795561e-05
120505,0.2926358334175106,0.0005490042506317168,1.3455341675669085e-07
148569,0.2827036785246582,0.018133884083859228,0.0001748888656812952
120843,0.27330465038306057,-0.02282956979242655,0.000343054342715145
100033,0.2719535450128533,0.005103525830528333,1.2066520635068268e-05
148567,0.2698375144191807,0.023683558075848606,0.0004625436906623841
149323,0.26598577542043045,-0.0025230046646992307,3.3579781920088155e-06
119094,0.2607666908004223,-0.06626542862803757,0.0019368789369602307
119551,0.23201007160635082,-0.031751441138909736,0.0008869788879322819
118632,0.21829397904608644,-0.008353832126962007,5.791756270127814e-05
101206,0.21399784776051212,0.02108631625012803,0.0003480482030714251
120504,0.2119482701352573,0.016232169761417014,0.00021216129075887476
148568,0.20873010086942337,-0.02638771994384301,0.00048592647527973177
119552,0.1986859936686296,-0.026159307513513367,0.0005850821704543411
125497,0.17729754927531766,0.04882040425957739,0.0018401792783071585
120503,0.17703302365844073,-0.0402689523698206,0.001397444608331861
118634,0.1750072167561127,0.10349663691337589,0.0027930065610663234
102885,0.17048756803412696,-0.019486785689474553,0.0003828503073092394
120506,0.1625385327998104,0.04189646272811976,0.0012571178108220732
102887,0.16211256794033255,0.016682689437770806,0.0001861916643285012
118633,0.15643835948169668,-0.03663900671860935,0.0011382947171084277
118635,0.1513635464823924,-0.0014335213897801262,2.0253408972328234e-06
149322,0.13173190226099432,-0.004050271130006488,1.322760788085016e-05
120841,0.13042924450705445,0.0363563990221998,0.0012113711061211873
125498,0.11989100971217971,0.00905441262173915,4.043746553634242e-05
101207,0.10897091901704538,-0.06528924788351524,0.0010641052735572622
119093,0.08232801295222093,0.025883212440093145,0.0005692038090244868
120842,0.0780443887615508,0.01805687420811818,0.000169155488383144
119092,0.0689952982167755,0.009730745001153627,8.082637693810755e-05
120507,0.06746210411099539,-0.0004440926329707231,0.00013430661440679847
120844,0.06455677495375998,-0.0004007442394784001,0.00010125435692271713
101208,0.060861457957871144,0.00026670968338238395,4.60762367710522e-05
119120,0.05620895216638369,-0.006413850728276476,0.0004342603321720051
118636,0.05074772999976104,0.001256674273155849,1.6516652310332824e-05
119599,0.048824215945539845,0.062001804382671694,0.0010259205326765965
119095,0.048015953637759554,-0.066951174639292,0.0011851593464486715
100025,0.042817920315060876,0.0011582183155281432,1.4612842041844954e-05
100016,0.03747580763443281,-0.0582684314388089,0.0026650326981333223
102886,0.02896939786637944,-0.04212502902189429,0.0008964294600687561
